Halichoeres,Halichoeres nebulosus,species
Plutellidae,Rhigognostis,genus
Hypenodes,Hypenodes sombrus,species
Curculionidae,Trypophloeus,genus
Curruca,Curruca iberia,species
Spongiphoridae,Labia,genus
Drosophila,Drosophila calloptera,species
Marinogammarus,Marinogammarus marinus,species
Mytilidae,Semimytilus,genus
Phobocampe,Phobocampe bicingulata,species
Staphylinidae,Pseudohaida,genus
Tachysurus,Tachysurus nitidus,species
geleBioLep01,geleBioLep01 BioLep1000,species
Lucigadus,Lucigadus nigromaculatus,species
Lampyridae,Luciola,genus
Blenina,Blenina donans,species
Chaetogaedia,Chaetogaedia Wood04,species
Ceratobatrachidae,Cornufer,genus
Clepsis,Clepsis BioLep113,species
Ichneumonidae,Erigorgus,genus
Noctuidae,Balsa,genus
Henricia,Henricia sp. AAB9183,species
Synapha,Synapha vitripennis,species
Lamprolepis,Lamprolepis smaragdina,species
Geometridae,Comibaena,genus
Diapterus,Diapterus peruvianus,species
Naja,Naja nigricollis,species
Erilepis,Erilepis zonifer,species
Cicadellidae,Gurawa,genus
Penaeidae,Mierspenaeopsis,genus
Mesochorus,Mesochorus cuatrocinco,species
Pentatomidae,Holcostethus,genus
Notodontidae,Gluphisia,genus
Filopaludina,Filopaludina sumatrensis,species
Bulinus,Bulinus forskalii,species
Gonionota,Gonionota hypoleuca,species
Heteromycteris,Heteromycteris japonicus,species
Erebidae,Halysidota,genus
Hydrobiosis,Hydrobiosis copis,species
Sebastes,Sebastes thompsoni,species
Cnidaria,Hydrozoa,class
Gelechiidae,Empalactis,genus
Blastobasis,Blastobasis Metz9506,species
Exochus,Exochus Malaise9372,species
Paratrigonidium,Paratrigonidium nitidum,species
Conogethes,Conogethes pinicolalis,species
Scyliorhinidae,Parmaturus,genus
Perciformes,Caristiidae,family
Mycobacteriaceae,Mycolicibacterium,genus
Tortricidae,Lathronympha,genus
Tetrastemmatidae,Quasitetrastemma,genus
Siphonaptera,Ceratophyllidae,family
Pentatomidae,Podisus,genus
Hemimysis,Hemimysis margalefi,species
Ceratopsyche,Ceratopsyche morosa,species
Lepidoptera,Anthelidae,family
Antarctothoa,Antarctothoa bathamae,species
Mussidia,Mussidia sp.,species
Desidae,Metaltella,genus
Lumpenus,Lumpenus fabricii,species
Crambidae,Anarpia,genus
Loricariidae,Hypostomus,genus
Trichoptera,Hydroptilidae,family
Barea,Barea helica,species
Araneae,Atypidae,family
Lithodes,Lithodes santolla,species
Acrididae,Locusta,genus
Diptera,Thaumaleidae,family
